distrito,numAccidentes,numAccidentesHombres,numAccidentesMujeres
PUENTE DE VALLECAS,3326,1932,1011
USERA,1821,1144,465
MORATALAZ,1221,715,390
SALAMANCA,3072,1928,898
SAN BLAS-CANILLEJAS,2049,1196,592
TETUÁN,1734,1110,440
CARABANCHEL,2713,1582,735
LATINA,2041,1189,545
BARAJAS,671,402,186
HORTALEZA,1557,840,486
VILLAVERDE,1385,846,346
CIUDAD LINEAL,2838,1619,822
FUENCARRAL-EL PARDO,2141,1166,703
CHAMBERÍ,2036,1311,550
CENTRO,2165,1474,536
MONCLOA-ARAVACA,2304,1345,763
CHAMARTÍN,2707,1620,860
VILLA DE VALLECAS,1055,619,311
RETIRO,2192,1383,646
ARGANZUELA,1987,1290,573
VICÁLVARO,764,447,205
9,1,0,0
